timestamp,activity,heart_rate
8.38,other,104.0
8.48,other,104.0
8.59,other,104.0
8.7,other,104.0
8.81,other,104.0
8.92,other,104.0
9.03,other,104.0
9.14,other,104.0
9.25,other,105.0
9.36,other,105.0
9.47,other,105.0
9.58,other,105.0
9.69,other,105.0
9.8,other,105.0
9.91,other,105.0
10.02,other,105.0
10.13,other,106.0
10.23,other,106.0
10.34,other,106.0
10.45,other,106.0
10.56,other,106.0
10.67,other,106.0
10.78,other,106.0
10.89,other,106.0
11.0,other,107.0
11.11,other,107.0
11.22,other,107.0
11.33,other,107.0
11.44,other,107.0
11.55,other,107.0
11.66,other,107.0
11.77,other,107.0
11.88,other,106.0
11.98,other,106.0
12.09,other,106.0
12.2,other,106.0
12.31,other,106.0
12.42,other,106.0
12.53,other,106.0
12.64,other,106.0
12.75,other,105.0
12.86,other,105.0
12.97,other,105.0
13.08,other,105.0
13.19,other,105.0
13.3,other,105.0
13.41,other,105.0
13.52,other,105.0
13.63,other,104.0
13.73,other,104.0
13.84,other,104.0
13.95,other,104.0
14.06,other,104.0
14.17,other,104.0
14.28,other,104.0
14.39,other,104.0
14.5,other,103.0
14.61,other,103.0
14.72,other,103.0
14.83,other,103.0
14.94,other,103.0
15.05,other,103.0
15.16,other,103.0
15.27,other,103.0
15.38,other,102.0
15.48,other,102.0
15.59,other,102.0
15.7,other,102.0
15.81,other,102.0
15.92,other,102.0
16.03,other,102.0
16.14,other,102.0
16.25,other,102.0
16.36,other,102.0
16.47,other,102.0
16.58,other,102.0
16.69,other,102.0
16.8,other,102.0
16.91,other,102.0
17.02,other,102.0
17.13,other,101.0
17.23,other,101.0
17.34,other,101.0
17.45,other,101.0
17.56,other,101.0
17.67,other,101.0
17.78,other,101.0
17.89,other,101.0
18.0,other,101.0
18.11,other,101.0
18.22,other,101.0
18.33,other,101.0
18.44,other,101.0
18.55,other,101.0
18.66,other,101.0
18.77,other,101.0
18.88,other,101.0
18.98,other,101.0
19.09,other,101.0
19.2,other,101.0
19.31,other,101.0
19.42,other,101.0
